TradeDate;SecurityId;ISIN;SecShortName;IssuerName;SecCategory;QuoteList;CurrencyId;SecCurrencyId;FaceValue;SettlementCurrency;AccruedInterest;IsAddress;SettType;TradeMode;TotalVolume;TotalAmount;TotalDealCount;MaxDealPrice;MinDealPrice;ClosePrice;PrevClose;TrendClose;WAPrice;MarketPrice2;MP2Volume;MarketPrice3;MP3Volume;CurrentPrice;FirstCurrentPrice;TrendCurrentPrice;AverageDailyVolume;ClearingPrice;TrendClearingPrice;MornOpenVolume;MornOpenAmount;MornOpenPrice;MornLastVolume;MornLastAmount;MornLastPrice;MornMaxDealPrice;MornMinDealPrice;MornTotalVolume;MornTotalAmount;MornTotalCount;MornWAPrice;MornCurrentPrice;MainOpenVolume;MainOpenAmount;MainOpenPrice;MainLastVolume;MainLastAmount;MainLastPrice;MainMaxDealPrice;MainMinDealPrice;MainTotalVolume;MainTotalAmount;MainTotalCount;MainWAPrice;MainCurrentPrice;EveOpenVolume;EveOpenAmount;EveOpenPrice;EveLastVolume;EveLastAmount;EveLastPrice;EveMaxDealPrice;EveMinDealPrice;EveTotalVolume;EveTotalAmount;EveTotalCount;EveWAPrice;EveCurrentPrice
2023-07-14;GILD;US3755581036;GILEAD SCIENCES, INC.;GILEAD SCIENCES, INC.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.00100000;USD;;Y;T2;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;PFE;US7170811035;Pfizer Inc.;Pfizer Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.05000000;USD;;Y;T0;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;PFE;US7170811035;Pfizer Inc.;Pfizer Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.05000000;USD;;Y;T1;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;PFE;US7170811035;Pfizer Inc.;Pfizer Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.05000000;USD;;Y;T2;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;JNJ;US4781601046;Johnson & Johnson;Johnson & Johnson;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;1.00000000;USD;;Y;T0;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;JNJ;US4781601046;Johnson & Johnson;Johnson & Johnson;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;1.00000000;USD;;Y;T1;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;JNJ;US4781601046;Johnson & Johnson;Johnson & Johnson;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;1.00000000;USD;;Y;T2;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;AAPL;US0378331005;Apple Inc.;Apple Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.00001000;USD;;Y;T0;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;AAPL;US0378331005;Apple Inc.;Apple Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.00001000;USD;;Y;T1;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;AAPL;US0378331005;Apple Inc.;Apple Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.00001000;USD;;Y;T2;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
2023-07-14;CSCO;US17275R1023;Cisco Systems, Inc.;Cisco Systems, Inc.;Акции иностранного эмитента обыкновенные;Out of list;USD;USD;0.00100000;USD;;Y;T1;Режим переговорных сделок;;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000;0.00;0.00;0.00000000;0.00;0.00;0.00000000;0.00000000;0.00000000;0.00;0.00;0;0.00000000;0.00000000
